genres,title,author_name,rating,keywords
"['Fantasy', 'Science Fiction', 'Fiction', 'LGBT', 'Queer', 'Horror', 'Audiobook']",gideon the ninth,tamsyn muir,4.2,"necromancer, emperor, servant, harrow, heir, harrowhark, gideon, swordswoman, corpse, summoned, sword, undead, resurrection, nemesis, nonagesimus"
"['Fantasy', 'Fiction', 'Science Fiction', 'Dystopia', 'Audiobook', 'Adult', 'Science Fiction Fantasy']",the fifth season,n.k. jemisin,4.3,"world, civilization, collapse, essun, empire, earth, end, war, dark, dying, sky, deadly, century, town, vast"
"['Fantasy', 'Young Adult', 'Fiction', 'Audiobook', 'Adventure', 'Young Adult Fantasy', 'Mythology']",return of the thief,megan whalen turner,4.48,"thief, lost, fiction, eugenides, empire, megan, foretell, prophecy, perilous, charismatic, acclaimed, queen, turner, cunning, epic"
"['Fantasy', 'Romance', 'Historical', 'M M Romance', 'Paranormal', 'Historical Fiction', 'LGBT']",the magpie lord,k.j. charles,4.03,"magician, earldom, earl, exiled, stephen, supernatural, danger, evil, crane, powerless, aristocrat, turmoil, victorian, swearing, vaudrey"
"['Science Fiction', 'Fiction', 'Audiobook', 'Novella', 'Fantasy', 'Adult', 'Space']",all systems red,martha wells,4.13,"mission, planetary, spacefaring, planet, corporate, security, secunit, droid, contract, murderbot, scientist, team, future, approved, shadowed"
"['Classics', 'Fiction', 'Fantasy', 'Philosophy', 'Short Stories', 'Literature', 'School']",the metamorphosis,franz kafka,3.89,"insect, dream, awoke, bed, gregor, gigantic, transformed, belly, samsa, quilt, domelike, laying, eye, uneasy, stiff"
"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Audiobook']",the hobbit,michael kilgarriff,4.29,"tolkien, hobbit, shire, gandalf, elf, goblin, baggins, dwarf, saga, bilbo, quest, adventure, ring, fantasy, prelude"
"['Fiction', 'Classics', 'Historical Fiction', 'Africa', 'School', 'Literature', 'Nigeria']",things fall apart,chinua achebe,3.74,"chinua, achebe"
"['Science Fiction', 'Fiction', 'Space Opera', 'Fantasy', 'Queer', 'LGBT', 'Audiobook']",ninefox gambit,yoon ha lee,3.8,"trilogy, gambit, cheris, fortress, siege, battle, tactician, massacred, hexarchate, traitor, kel, shuos, besiege, stake, hope"
"['Nonfiction', 'Science', 'Environment', 'Nature', 'Classics', 'Ecology', 'History']",silent spring,rachel carson,4.05,"silent, gore, spring, pollution, environmental, alarm, awareness, influenced, conscience, wilderness, chemical, humankind, history, singlehandedly, president"
"['Nonfiction', 'Business', 'Economics', 'Finance', 'History', 'Politics', 'Audiobook']",the big short,michael lewis,4.3,"journalist, chronicler, lewis, poker, narrative, financial, compelling, hero, funniest, bond, time, crash, geek, michael, vanity"
